;title;adress;link;price
32;Вид без препятствий на город!1-комн. апарт., 52 м², 35/64 этаж;Тестовская3 минуты пешкомМосква,ЦАО,р-н Пресненский,м. Тестовская,1-й Красногвардейский проезд,22с1;https://www.cian.ru/rent/flat/250773252/;230000
33;2-комн. кв., 88 м², 48/75 этаж;Деловой центр4 минуты на транспортеМосква,ЦАО,р-н Пресненский,м. Деловой центр,1-й Красногвардейский проезд,15;https://www.cian.ru/rent/flat/250433109/;350000
34;Покажем все в Сити: онлайн/офлайн2-комн. апарт., 108 м², 50/75 этаж;Выставочная7 минут пешкомМосква,ЦАО,р-н Пресненский,м. Выставочная,1-й Красногвардейский проезд,15;https://www.cian.ru/rent/flat/250516834/;320000
35;ТОП ВИД! Супер дизайн! НОВЫЙ! НДС2-комн. апарт., 110 м², 50/75 этаж;Выставочная7 минут пешкомМосква,ЦАО,р-н Пресненский,м. Выставочная,1-й Красногвардейский проезд,15;https://www.cian.ru/rent/flat/250383784/;319999
36;БЕЗ КОМИССИИ для клиента!3-комн. апарт., 115 м², 56/80 этаж;Деловой центр2 минуты пешкомМосква,ЦАО,р-н Пресненский,м. Деловой центр,1-й Красногвардейский проезд,15;https://www.cian.ru/rent/flat/247447145/;350000
37;Панорамная двушка на Новом Арбате2-комн. кв., 60 м², 20/24 этаж;Смоленская10 минут пешкомМосква,ЦАО,р-н Арбат,м. Смоленская,улица Новый Арбат,22;https://www.cian.ru/rent/flat/232774403/;4200
38;Парковка во дворе ( Стоянка )2-комн. кв., 55 м², 9/17 этаж;Крымская7 минут пешкомМосква,ЮАО,р-н Донской,м. Крымская,Загородное шоссе,4К2;https://www.cian.ru/rent/flat/250705204/;50000
39;ЭКСКЛЮЗИВ! Лучшая квартира! НОВАЯ3-комн. кв., 54 м², 2/14 этаж;Алма-Атинская5 минут пешкомМосква,ЮАО,р-н Братеево,м. Алма-Атинская,Братеевская улица,39/12;https://www.cian.ru/rent/flat/250154733/;55000
40;Квартира с панорамным видом1-комн. кв., 38 м², 8/9 этаж;Улица 1905 года4 минуты пешкомМосква,ЦАО,р-н Пресненский,м. Улица 1905 года,улица Красная Пресня,38;https://www.cian.ru/rent/flat/167555255/;2900
41;Сдам 3-х комнатную квартиру3-комн. кв., 140 м², 11/33 этаж;Тропарево10 минут пешкомМосква,ЗАО,р-н Тропарево-Никулино,м. Тропарево,проспект Вернадского,94к2;https://www.cian.ru/rent/flat/195447149/;160000
42;1-комн. кв., 40 м², 14/16 этаж;Сухаревская8 минут пешкомМосква,ЦАО,р-н Красносельский,м. Сухаревская,переулок Докучаев,2;https://www.cian.ru/rent/flat/244405573/;2500
43;2-комн. кв., 50 м², 6/9 этаж;Смоленская8 минут пешкомМосква,ЦАО,р-н Арбат,м. Смоленская,Смоленская улица,10;https://www.cian.ru/rent/flat/221849227/;2990
44;АКЦИЯ -200 рублей в сутки *1-комн. кв., 40 м², 1/8 этаж;Цветной бульвар5 минут пешкомМосква,ЦАО,р-н Тверской,м. Цветной бульвар,Садовая-Самотечная улица,5к2;https://www.cian.ru/rent/flat/245773845/;3200
45;Свободна на НГ!!!  Спеццена!2-комн. кв., 50 м², 2/9 этаж;Маяковская8 минут пешкомМосква,ЦАО,р-н Пресненский,м. Маяковская,Васильевская улица,4;https://www.cian.ru/rent/flat/233708358/;3300
46;3-комн. апарт., 238,5 м², 50/70 этаж;Деловой центр3 минуты пешкомМосква,ЦАО,р-н Пресненский,м. Деловой центр,набережная Пресненская,8с1;https://www.cian.ru/rent/flat/247656398/;20000
47;2-комн. апарт., 64 м², 23/79 этаж;Деловой центр4 минуты пешкомМосква,ЦАО,р-н Пресненский,м. Деловой центр,1-й Красногвардейский проезд,22с2;https://www.cian.ru/rent/flat/246818014/;260000
48;4-комн. кв., 170 м², 3/10 этаж;Цветной бульвар3 минуты пешкомМосква,ЦАО,р-н Тверской,м. Цветной бульвар,Цветной бульвар,15к2;https://www.cian.ru/rent/flat/248598661/;300000
49;Однушка 50м2 у  Цветного бульвара1-комн. кв., 50 м², 4/11 этаж;Цветной бульвар6 минут пешкомМосква,ЦАО,р-н Тверской,м. Цветной бульвар,1-й Волконский переулок,15;https://www.cian.ru/rent/flat/167555185/;3300
50;Трешка рядом с Экспоцентром3-комн. кв., 67 м², 9/9 этаж;Краснопресненская10 минут пешкомМосква,ЦАО,р-н Пресненский,м. Краснопресненская,улица Николаева,1;https://www.cian.ru/rent/flat/167555683/;4500
51;В одном шаге от метро Тверская3-комн. кв., 85 м², 8/8 этаж;Пушкинская2 минуты пешкомМосква,ЦАО,р-н Тверской,м. Пушкинская,улица Большая Дмитровка,21;https://www.cian.ru/rent/flat/223726074/;5900
52;Апартаменты в Доме Правительства!2-комн. кв., 74 м², 10/12 этаж;Библиотека им. Ленина10 минут пешкомМосква,ЦАО,р-н Якиманка,м. Боровицкая,улица Серафимовича,2;https://www.cian.ru/rent/flat/206630981/;5900
53;Сердце столицы!4-комн. кв., 170 м², 3/10 этаж;Цветной бульвар8 минут пешкомМосква,ЦАО,р-н Тверской,м. Цветной бульвар,Цветной бульвар,15к2;https://www.cian.ru/rent/flat/245673863/;299990
54;Лучшее предложение! Рядом с метро1-комн. кв., 34 м², 8/9 этаж;Зябликово6 минут пешкомМосква,ЮАО,р-н Орехово-Борисово Южное,м. Зябликово,Воронежская улица,34К3;https://www.cian.ru/rent/flat/35282776/;2000
55;Лучшее предложение!Рядом с метро!1-комн. кв., 37,5 м², 3/9 этаж;Домодедовская8 минут пешкомМосква,ЮАО,р-н Орехово-Борисово Южное,м. Домодедовская,Воронежская улица,18;https://www.cian.ru/rent/flat/34496989/;2000
